על,concrete
עם,concrete
עד,concrete
אשר,concrete
בית,abstract
מספר,concrete
אם,concrete
אף,concrete
בן,concrete
שלו,abstract
כן,concrete
חלק,concrete
שנה,abstract
כלל,abstract
אביב,concrete
אולם,concrete
רב,concrete
חיים,abstract
דבר,concrete
ראש,abstract
שהיה,concrete
זמן,abstract
בעל,abstract
תל,concrete
דרך,abstract
עוד,concrete
נגד,abstract
יום,concrete
רבי,concrete
בעת,abstract
עבר,abstract
יהודי,concrete
ועד,concrete
במאי,concrete
כלי,abstract
מקום,abstract
איש,concrete
דוד,concrete
מלך,concrete
עקב,abstract
אבל,concrete
היסטוריה,abstract
הפך,concrete
בת,concrete
חבר,concrete
ארץ,abstract
תקופה,abstract
מים,abstract
תוכנית,abstract
מיליון,concrete
מקור,abstract
חיל,abstract
ידוע,abstract
ביום,concrete
שכן,concrete
מבנה,abstract
ברית,abstract
חדש,concrete
אתר,concrete
שיש,concrete
צבא,abstract
תהליך,abstract
פעם,concrete
יד,concrete
דין,concrete
שלום,concrete
מכל,concrete
אזור,abstract
עיר,abstract
מצד,abstract
הסדרה,abstract
אור,abstract
לב,concrete
ארגון,abstract
עצמה,abstract
ישראלי,concrete
סוף,concrete
אבן,abstract
מצב,abstract
קבוצה,abstract
עת,concrete
שטח,concrete
עבודה,abstract
תפקיד,abstract
ים,concrete
סרט,concrete
פעילות,abstract
קו,concrete
משפט,abstract
כדור,concrete
מזרח,abstract
שר,concrete
סוג,concrete
בעלות,abstract
משרד,abstract
אלבום,concrete
שיר,concrete
עלה,abstract
הר,concrete
מוזיקה,concrete
מלחמה,abstract
עשר,concrete
שחקן,concrete
רקע,concrete
דרום,abstract
שדה,concrete
עליה,abstract
תמיד,concrete
לוח,concrete
מדינה,abstract
עולם,abstract
נשיא,abstract
נהר,abstract
מטעם,concrete
גוף,abstract
הסכם,concrete
מרבית,abstract
לידי,abstract
תרבות,abstract
קולנוע,concrete
צפון,abstract
כמות,abstract
כהן,concrete
שיטת,concrete
מת,concrete
עברה,abstract
חזרה,abstract
מחקר,abstract
לבן,concrete
ספרי,concrete
ערב,abstract
הקשר,abstract
מעמד,abstract
רשת,abstract
סיום,abstract
משמעות,abstract
אליה,concrete
שאר,abstract
תורה,abstract
השפעה,abstract
חשיבות,abstract
דם,concrete
עולה,abstract
לוי,concrete
חד,concrete
שעל,concrete
מחוז,concrete
דמות,abstract
דולר,concrete
רחוב,abstract
מסע,abstract
תנועה,abstract
גרסה,abstract
קבע,concrete
כפר,concrete
זהב,abstract
התפתחות,abstract
מזון,abstract
שירה,concrete
משפחה,concrete
כסף,abstract
ראה,concrete
פנים,abstract
אמנות,abstract
מנהל,concrete
פעיל,abstract
צוות,abstract
ידע,abstract
ברור,concrete
תהיה,abstract
יתר,abstract
גיל,concrete
מדיניות,abstract
תחום,abstract
ראשית,abstract
גרם,concrete
קרן,abstract
רחב,concrete
רוח,abstract
צעיר,concrete
לחץ,concrete
גדל,abstract
מצפון,abstract
עסק,abstract
שיטה,abstract
גרמני,concrete
גל,concrete
טובה,concrete
אמצעי,abstract
פרי,concrete
דת,concrete
תנאי,abstract
אריה,concrete
הרכב,abstract
דעת,abstract
נחל,abstract
זאב,concrete
אש,concrete
אפשרות,abstract
מטוס,concrete
חוץ,abstract
עין,concrete
הקטנה,abstract
מעשה,abstract
יצר,abstract
שפה,abstract
יהדות,abstract
סימן,abstract
אנרגיה,abstract
זכות,abstract
כבוד,abstract
שבת,abstract
צרפתי,concrete
סדרה,abstract
שבט,abstract
אהבה,abstract
כביש,concrete
סעיף,abstract
פרופסור,abstract
ברק,concrete
המשך,abstract
חסר,concrete
האדמה,abstract
רכבת,abstract
שליטה,abstract
רדיו,abstract
מוסד,abstract
גיטרה,concrete
נפש,abstract
רצח,abstract
שלב,abstract
מפעל,abstract
ספורט,concrete
אחראי,concrete
נמל,abstract
הלכה,abstract
ילד,concrete
קיום,abstract
הבאה,abstract
מהירות,abstract
פעל,abstract
רשות,abstract
פה,concrete
טבע,abstract
התנגדות,abstract
מחלקת,concrete
פרסום,abstract
יחידה,abstract
ישירות,abstract
דגל,concrete
מקבל,concrete
הסדר,abstract
מגלה,abstract
מות,abstract
גשר,abstract
הצלחה,abstract
מדע,abstract
סיני,abstract
מרחב,abstract
אורח,abstract
תמיכה,abstract
אחדות,abstract
חזק,concrete
בשר,abstract
זוג,abstract
רעיון,abstract
עמדה,abstract
לילה,abstract
בריטי,concrete
זמר,concrete
מתן,concrete
צד,concrete
מועדון,concrete
שום,concrete
אלוף,concrete
ניתוח,abstract
כדורגל,concrete
נתון,concrete
תכנון,abstract
תא,concrete
רגל,concrete
יחס,abstract
חקר,abstract
לשון,abstract
דור,concrete
צורה,abstract
אילן,concrete
אות,abstract
שלם,concrete
ערוץ,abstract
מסלול,concrete
התנהגות,abstract
הקשה,abstract
שבעה,concrete
פרנק,concrete
בעיה,abstract
שוק,abstract
שושלת,abstract
מס,concrete
עברי,concrete
יצירה,abstract
תופעה,abstract
שמן,concrete
טענה,abstract
פתרון,abstract
